unified_business_number,company_name,registered_address,paid_in_capital_twd,listing_status,industry_code,stock_code,source_id,source_authority,source_dataset,source_data_date
33653494,聯發紡織纖維股份有限公司,台北市環河北路1段73號5樓之5,2689716800,TWSE,04,1459,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
22817999,宏遠興業股份有限公司,台南市山上區明和里256號,6946434840,TWSE,04,1460,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
07715023,強盛新投資控股股份有限公司,桃園市大園區大工路一二六號,1732683810,TWSE,04,1463,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
73686632,得力實業股份有限公司,台南市新市區三舍里005鄰復興路820號,4255757330,TWSE,04,1464,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
33700601,偉全實業股份有限公司,台北市西寧北路62-5號6樓,1036072670,TWSE,04,1465,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
22976047,聚隆纖維股份有限公司,彰化縣埔鹽鄉永樂村番金路94號,1111573200,TWSE,04,1466,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
69559487,南緯實業股份有限公司,台北市中山區林森北路426號2樓,2336246670,TWSE,04,1467,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
36123364,昶和纖維興業股份有限公司,桃園市蘆竹區南崁路一段277號,1604052440,TWSE,04,1468,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
22267777,大統新創股份有限公司,台北市塔城街64號4樓,857670000,TWSE,04,1470,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
07699023,首利實業股份有限公司,新北市五股區五權七路18號3樓,1504145360,TWSE,28,1471,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
07029919,三洋實業股份有限公司,高雄市大社區嘉保路360號,524880820,TWSE,14,1472,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
68919702,台南企業股份有限公司,台南市歸仁區中山路三段320號,1461535340,TWSE,04,1473,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
58003997,弘裕企業股份有限公司,彰化縣伸港鄉全興工業區工西一路60號,1298969690,TWSE,04,1474,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
23912057,台灣業旺股份有限公司,台北市中正區北平東路36號8樓,660167490,TWSE,04,1475,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
35884479,儒鴻企業股份有限公司,新北市新莊區中央路738號,2743671110,TWSE,04,1476,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
23609668,聚陽實業股份有限公司,台北市忠孝東路四段550號8樓,2466937130,TWSE,04,1477,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
11039306,士林電機廠股份有限公司,台北市士林區中山北路六段88號16樓,5209722230,TWSE,05,1503,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
11332202,東元電機股份有限公司,臺北市南港區三重路19-9號5樓,23764406840,TWSE,05,1504,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
68193807,正道工業股份有限公司,台南市仁德區大甲里中正西路1015號,3003885010,TWSE,05,1506,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
85330636,瑞利企業股份有限公司,高雄市仁武區高楠公路廿二號,981834980,TWSE,12,1512,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
33029464,中興電工機械股份有限公司,新北市中和區中正路801號3樓,5031125150,TWSE,05,1513,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
03213392,亞力電機股份有限公司,台北市南港區三重路19-11號12樓,2785706420,TWSE,05,1514,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
55759180,力山工業股份有限公司,台中市大里區仁化路261號,1814735000,TWSE,05,1515,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
22071751,川飛能源股份有限公司,台北市信義區光復南路495號6樓之5,400081950,TWSE,20,1516,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
59008318,利奇機械工業股份有限公司,彰化縣彰化市石牌里石牌路一段112號,2200000070,TWSE,05,1517,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
33284077,華城電機股份有限公司,桃園市中壢區吉林路10號,3158808440,TWSE,05,1519,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
69408876,大億交通工業製造股份有限公司,台南市南區新信路11號,762300000,TWSE,12,1521,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
22269487,堤維西交通工業股份有限公司,台南市新樂路72之2號,3428978810,TWSE,12,1522,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
22081250,耿鼎企業股份有限公司,338桃園市蘆竹區內溪路48號,1653103970,TWSE,12,1524,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
35129100,江申工業股份有限公司,桃園市楊梅區新江路100號,734001350,TWSE,12,1525,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
11099726,日馳企業股份有限公司,桃園市蘆竹區海山中街51號,600000000,TWSE,05,1526,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
20982120,鑽全實業股份有限公司,台中市工業區36路24號,1385706400,TWSE,05,1527,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
